Airway	d10	young "test_ligand"	"auroc"	"aupr"	"aupr_corrected"	"pearson"	"rank"	"expressed_in"	"upregulated_in"
Airway	d10	young "51"	"Fgf2"	0.53628260501355	0.12034476889803	0.0225452578955854	0.0537002625699374	51	"Fibroblasts, Mesothelium"	""
Airway	d10	young "52"	"Vtn"	0.533413787262871	0.123002192089671	0.0252026810872262	0.0535037231800189	52	"Pericytes"	""
Airway	d10	young "53"	"Cxcl2"	0.533436547256096	0.127731503533052	0.029931992530607	0.0533036091042884	53	"Granulocytes"	""
Airway	d10	young "54"	"Ltb"	0.536583777947149	0.129963722561391	0.0321642115589462	0.053230970764168	54	"Lymphocytes"	""
Airway	d10	young "55"	"Bmp4"	0.53316607384824	0.12434452179764	0.0265450107951952	0.0532285417495819	55	"Alveolum, Fibroblasts, Mesothelium, Pericytes, Vascular_ECs"	""
Airway	d10	young "56"	"Pvr"	0.537370320968837	0.1253416512123	0.0275421402098548	0.0526627077003679	56	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"
Airway	d10	young "57"	"Lrpap1"	0.534860370088077	0.124763288164652	0.0269637771622066	0.0524755465508219	57	"Airway, Alveolum, Fibroblasts, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Alveolum, MNP"
Airway	d10	young "58"	"Adam12"	0.536550961212738	0.124146008131094	0.0263464971286494	0.0522579884358659	58	"Fibroblasts, Lymphatic_ECs"	"Fibroblasts"
Airway	d10	young "59"	"Dsg2"	0.534617420392953	0.12585473612375	0.0280552251213053	0.0515706820314715	59	"Airway"	""
Airway	d10	young "60"	"Celsr1"	0.532960175304878	0.120126392311429	0.0223268813089842	0.0515033642393927	60	"Airway, Lymphatic_ECs"	""
Airway	d10	young "61"	"Psap"	0.528037665142273	0.124126512047456	0.0263270010450108	0.0509217372123881	61	"MNP"	""
Airway	d10	young "62"	"Hspg2"	0.530204628218158	0.124377582033765	0.0265780710313202	0.0504999898916357	62	"Fibroblasts, Lymphatic_ECs, Pericytes, SMC"	"Fibroblasts, Lymphatic_ECs"
Airway	d10	young "63"	"Wnt9a"	0.535010162601624	0.125648424330354	0.027848913327909	0.0502548965198269	63	"Mesothelium"	""
Airway	d10	young "64"	"Col1a1"	0.528239329268294	0.120270677672876	0.0224711666704315	0.0495631319135656	64	"Fibroblasts, Mesothelium, Pericytes, SMC"	"Fibroblasts, Pericytes"
Airway	d10	young "65"	"Ccl5"	0.53179359332656	0.11965075671721	0.021851245714765	0.0493493043756442	65	"Lymphocytes"	""
Airway	d10	young "66"	"Calm1"	0.536811907181574	0.121942436951413	0.0241429259489678	0.0486314789663268	66	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Alveolum, Fibroblasts, SMC"
Airway	d10	young "67"	"Aimp1"	0.525910399728999	0.121715547308973	0.0239160363065283	0.0486282123683597	67	"Airway, Alveolum, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC"	""
Airway	d10	young "68"	"Sema7a"	0.532454691734416	0.125467236673348	0.027667725670903	0.0486176898456042	68	"Capillary_ECs, Vascular_ECs"	"Capillary_ECs, Vascular_ECs"
Airway	d10	young "69"	"Trf"	0.528331957147693	0.123133699451842	0.0253341884493972	0.0478333199504049	69	"Airway, MNP, Mesothelium"	"Mesothelium"
Airway	d10	young "70"	"Rps19"	0.529777481368564	0.124936185781531	0.0271366747790862	0.0476710381968794	70	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Capillary_ECs"
Airway	d10	young "71"	"Cdh1"	0.535949144647693	0.119140309136741	0.0213407981342964	0.0475975548041879	71	"Airway, Alveolum"	""
Airway	d10	young "72"	"Hsp90b1"	0.528604018462061	0.124168943375762	0.0263694323733165	0.0475544141504632	72	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
Airway	d10	young "73"	"Wnt4"	0.529363037771003	0.122217290108475	0.0244177791060297	0.0473140495105341	73	"Airway, Pericytes"	""
Airway	d10	young "74"	"Copa"	0.532911479505419	0.123301395925478	0.0255018849230331	0.0468068083132516	74	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Alveolum, SMC"
Airway	d10	young "75"	"H2-T23"	0.529851583672085	0.123966162630027	0.0261666516275821	0.0466213180276802	75	"Capillary_ECs, Granulocytes, Lymphocytes, MNP, Vascular_ECs"	""
Airway	d10	young "76"	"Lamc2"	0.530719109925474	0.123123626858319	0.0253241158558742	0.0462375107119827	76	"Alveolum"	"Alveolum"
Airway	d10	young "77"	"Fn1"	0.540061822493228	0.123166468301346	0.0253669572989014	0.0461077995326445	77	"Fibroblasts, Lymphatic_ECs, MNP, Pericytes, SMC"	"Fibroblasts, Lymphatic_ECs, MNP, Pericytes, SMC"
Airway	d10	young "78"	"F11r"	0.528221862296748	0.122529372874975	0.0247298618725303	0.0453968175689996	78	"Airway, Alveolum, Capillary_ECs, Lymphatic_ECs, MNP, Mesothelium, Vascular_ECs"	"Alveolum"
Airway	d10	young "79"	"Igf1"	0.538424690887532	0.11633177293786	0.0185322619354154	0.0453936241307766	79	"Fibroblasts, MNP"	"Fibroblasts, MNP"
Airway	d10	young "80"	"Jag2"	0.534888952405148	0.116561081961496	0.0187615709590514	0.0452110213511891	80	"Capillary_ECs"	"Capillary_ECs"
Airway	d10	young "81"	"Bdnf"	0.534279725609758	0.118259308312974	0.0204597973105288	0.0451577798188261	81	"Mesothelium"	""
Airway	d10	young "82"	"Adam9"	0.525452024051491	0.124438739311311	0.026639228308866	0.0448776003420394	82	"Alveolum, Fibroblasts, MNP, SMC"	"Alveolum, MNP"
Airway	d10	young "83"	"Mapt"	0.532907245088078	0.120831395821453	0.023031884819008	0.0442011048842907	83	"Capillary_ECs, Pericytes"	""
Airway	d10	young "84"	"Cdh5"	0.521428798272359	0.123348475169349	0.0255489641669043	0.0437911945705389	84	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"	"Lymphatic_ECs"
Airway	d10	young "85"	"Fbn1"	0.521426681063687	0.119391734966541	0.0215922239640962	0.0428713935212448	85	"Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC"	"Fibroblasts, Pericytes, SMC"
Airway	d10	young "86"	"Thbs1"	0.521433561991874	0.120275553644141	0.0224760426416959	0.0428104876938116	86	"Fibroblasts, Lymphatic_ECs, Pericytes, SMC"	"Fibroblasts, Pericytes"
Airway	d10	young "87"	"Tgfb3"	0.528555322662602	0.115515307308604	0.0177157963061588	0.0423211561409781	87	"Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC"	"Pericytes"
Airway	d10	young "88"	"Sfrp2"	0.528983528116531	0.11783803354777	0.020038522545325	0.0422502463678528	88	"Mesothelium"	"Mesothelium"
Airway	d10	young "89"	"Nenf"	0.5270573975271	0.120095617625706	0.022296106623261	0.0408263867685572	89	"Airway, Alveolum, Fibroblasts, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
Airway	d10	young "90"	"Nid1"	0.528679179369918	0.113647171550376	0.0158476605479314	0.0406990231636388	90	"Capillary_ECs, Fibroblasts, Lymphatic_ECs, Pericytes, SMC, Vascular_ECs"	"Capillary_ECs, Lymphatic_ECs, SMC, Vascular_ECs"
Airway	d10	young "91"	"Jam2"	0.531164253048781	0.118959529391617	0.0211600183891721	0.0404648920188153	91	"Capillary_ECs, Vascular_ECs"	"Capillary_ECs, Vascular_ECs"
Airway	d10	young "92"	"Ntn1"	0.521375868055556	0.120453718803901	0.0226542078014562	0.0401314875884672	92	"Capillary_ECs, Lymphatic_ECs, Mesothelium, Vascular_ECs"	"Capillary_ECs, Vascular_ECs"
Airway	d10	young "93"	"Areg"	0.527161670054203	0.11591011521913	0.0181106042166851	0.0387986186370742	93	"Airway, Alveolum"	"Airway"
Airway	d10	young "94"	"Il16"	0.522721354166667	0.124052130393829	0.0262526193913842	0.0381494820305228	94	"Granulocytes, Lymphocytes"	""
Airway	d10	young "95"	"Ptprm"	0.524826388888889	0.115895386473195	0.0180958754707499	0.0380783057290161	95	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"	""
Airway	d10	young "96"	"Ptn"	0.525944804369917	0.117941045455638	0.0201415344531931	0.0380055905451734	96	"Fibroblasts, Mesothelium"	"Fibroblasts"
Airway	d10	young "97"	"Grn"	0.518441946138211	0.116173889782147	0.0183743787797017	0.0376240822750733	97	"Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Vascular_ECs"	"Capillary_ECs, MNP"
Airway	d10	young "98"	"Nectin2"	0.519683159722222	0.12070828774168	0.0229087767392349	0.0364342323178584	98	"Airway, Alveolum, Lymphatic_ECs"	""
Airway	d10	young "99"	"Agrn"	0.524109184451219	0.115240231640704	0.0174407206382586	0.0358107993744921	99	"Alveolum, Capillary_ECs, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Alveolum, Capillary_ECs, SMC"
Airway	d10	young "100"	"Tgfb2"	0.519703802506774	0.110001976662245	0.0122024656598	0.0346263571731441	100	"Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC"	"Fibroblasts, Pericytes"
Airway	d10	young "101"	"Manf"	0.521036056063685	0.113806721779806	0.0160072107773611	0.0343637900782349	101	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Alveolum, Capillary_ECs"
Airway	d10	young "102"	"Npnt"	0.52678692411924	0.109881269959545	0.0120817589570998	0.0340271667138755	102	"Alveolum, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC"	""
Airway	d10	young "103"	"Lamb1"	0.513649644308942	0.116546462695438	0.0187469516929931	0.0327076642678821	103	"Airway, Fibroblasts, Lymphatic_ECs, Pericytes"	""
Airway	d10	young "104"	"Hmgb2"	0.529474720528453	0.115008185966609	0.0172086749641635	0.0319674960949377	104	"Granulocytes, Lymphatic_ECs, Lymphocytes, MNP"	""
Airway	d10	young "105"	"Adam15"	0.508474127710025	0.118576952634355	0.0207774416319102	0.0318071297922042	105	"Capillary_ECs, MNP, Vascular_ECs"	"Capillary_ECs, MNP"
Airway	d10	young "106"	"Tfpi"	0.531766598915988	0.121880148027531	0.0240806370250862	0.0307667430544797	106	"Fibroblasts, Lymphatic_ECs, Mesothelium, SMC, Vascular_ECs"	"SMC, Vascular_ECs"
Airway	d10	young "107"	"Lama2"	0.535082676998647	0.116484502358432	0.0186849913559872	0.0304407717537587	107	"Fibroblasts, Pericytes"	""
Airway	d10	young "108"	"Crlf1"	0.5166147950542	0.118766862300227	0.0209673512977816	0.030155979147031	108	"Fibroblasts"	"Fibroblasts"
Airway	d10	young "109"	"Itgal"	0.52591463414634	0.117353972328147	0.0195544613257024	0.0300056348266709	109	"Granulocytes, Lymphocytes"	""
Airway	d10	young "110"	"Plau"	0.513964049796746	0.108740206788075	0.0109406957856305	0.0260726672226397	110	"Lymphatic_ECs"	""
Airway	d10	young "111"	"Rspo3"	0.50306148373984	0.107877120779439	0.0100776097769935	0.015616310949915	111	"Lymphatic_ECs"	""
Airway	d10	young "112"	"Thbs2"	0.511688050474256	0.102965117056954	0.00516560605450905	0.0140731756183116	112	"Fibroblasts"	"Fibroblasts"
Airway	d10	young "113"	"Slit2"	0.493905085535228	0.112163601390612	0.014364090388167	0.0137386841050135	113	"Fibroblasts"	"Fibroblasts"
Airway	d10	young "114"	"Clstn1"	0.496437267107047	0.106646919163826	0.00884740816138109	0.00740404991254763	114	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Pericytes, SMC, Vascular_ECs"	""
Airway	d10	young "115"	"App"	0.518204289464771	0.10440805804493	0.00660854704248513	-0.00722043644559912	115	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
Airway	d10	young "116"	"Cadm1"	0.503390180386181	0.102364273748929	0.00456476274648387	-0.00939186330762823	116	"Airway, Alveolum, Capillary_ECs, Pericytes"	""
Airway	d21	young "test_ligand"	"auroc"	"aupr"	"aupr_corrected"	"pearson"	"rank"	"expressed_in"	"upregulated_in"
Airway	d21	young "1"	"Edn1"	0.600228402814818	0.101519720595318	0.054182442488809	0.135359805825832	1	"Capillary_ECs, Vascular_ECs"	""
Airway	d21	young "2"	"Il18"	0.596241031640889	0.0938094333909755	0.0464721552844667	0.116544924948595	2	"MNP"	""
Airway	d21	young "3"	"Apoe"	0.606486898023092	0.086800238173072	0.0394629600665631	0.113363284663967	3	"MNP"	"MNP"
Airway	d21	young "4"	"Tgfb1"	0.603078061285938	0.0896797305350801	0.0423424524285712	0.105580851590736	4	"MNP"	""
Airway	d21	young "5"	"Adam17"	0.606203007518796	0.0813283558041906	0.0339910776976817	0.0984796186690464	5	"Lymphatic_ECs, MNP"	""
Airway	d21	young "6"	"Col4a1"	0.620113642229143	0.0834707876986902	0.0361335095921813	0.0982558102108384	6	"Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Pericytes, Vascular_ECs"
Airway	d21	young "7"	"Wnt5a"	0.597258305947935	0.08254918997179	0.0352119118652811	0.0975788844011349	7	"Fibroblasts, Pericytes"	"Pericytes"
Airway	d21	young "8"	"Spp1"	0.587212453330124	0.0825234499837388	0.0351861718772299	0.0973913228833406	8	"Fibroblasts, MNP"	"Fibroblasts, MNP"
Airway	d21	young "9"	"Hmgb1"	0.580035615354176	0.0917549748865361	0.0444176967800272	0.0970882969105268	9	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
Airway	d21	young "10"	"Itgam"	0.605372842862301	0.0800105939608819	0.032673315854373	0.0947399324230872	10	"Granulocytes, MNP"	""
Airway	d21	young "11"	"Bmp4"	0.590875070972623	0.0784330835851095	0.0310958054786006	0.0942308737884875	11	"Alveolum, Fibroblasts"	""
Airway	d21	young "12"	"Anxa1"	0.609489255174558	0.077833627857119	0.0304963497506102	0.0930133110546498	12	"Airway, Alveolum, Fibroblasts, Granulocytes, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC"	"Airway, Alveolum, Fibroblasts, Mesothelium"
Airway	d21	young "13"	"Lgals3"	0.601798403330982	0.075915599481719	0.0285783213752102	0.0929608255819704	13	"MNP"	""
Airway	d21	young "14"	"Yars"	0.615063832349757	0.0790819284076739	0.031744650301165	0.0925721599769386	14	"Fibroblasts, Mesothelium"	""
Airway	d21	young "15"	"Nectin1"	0.611779735379638	0.077842293751716	0.0305050156452071	0.0924097440476955	15	"Alveolum"	""
Airway	d21	young "16"	"Cxcl12"	0.61619294231001	0.0835398645128853	0.0362025864063764	0.0915978206743683	16	"Capillary_ECs, Fibroblasts, SMC, Vascular_ECs"	"Capillary_ECs"
Airway	d21	young "17"	"Celsr1"	0.612644311006347	0.0754139363449827	0.0280766582384738	0.0915882043022115	17	"Airway"	""
Airway	d21	young "18"	"Efnb1"	0.613642229142652	0.0773825822198935	0.0300453041133846	0.0915604103226794	18	"Capillary_ECs, Vascular_ECs"	""
Airway	d21	young "19"	"Plxnb2"	0.609738734708628	0.0764642475075422	0.0291269694010333	0.0907651268047971	19	"Airway, Alveolum, Fibroblasts, Mesothelium"	""
Airway	d21	young "20"	"Cxcl16"	0.608497789095163	0.077056980465335	0.0297197023588261	0.0907487490682491	20	"Alveolum, MNP"	"Alveolum, MNP"
Airway	d21	young "21"	"Efnb2"	0.608177336935019	0.0760098534669099	0.0286725753604011	0.090590172717849	21	"Capillary_ECs, Vascular_ECs"	""
Airway	d21	young "22"	"Itga4"	0.609583885342646	0.0766146686362286	0.0292773905297197	0.0905492106314075	22	"Lymphocytes, MNP"	""
Airway	d21	young "23"	"Vegfa"	0.590657851723131	0.0783992625738672	0.0310619844673584	0.0904858058034851	23	"Alveolum, Capillary_ECs, Vascular_ECs"	"Alveolum"
Airway	d21	young "24"	"Nampt"	0.584506890796789	0.0764957456097519	0.029158467503243	0.0885634179588256	24	"MNP, SMC"	""
Airway	d21	young "25"	"Hc"	0.605280363379847	0.0757234510129185	0.0283861729064096	0.0885325780218696	25	"Alveolum"	""
Airway	d21	young "26"	"Wnt4"	0.606562172020444	0.079218264642299	0.0318809865357901	0.0874215068357296	26	"Airway, Mesothelium, Pericytes"	"Mesothelium"
Airway	d21	young "27"	"Lama1"	0.605310472978785	0.0763218581208702	0.0289845800143613	0.0868464726869264	27	"Capillary_ECs"	"Capillary_ECs"
Airway	d21	young "28"	"Efna1"	0.603729719034432	0.0758184374855274	0.0284811593790185	0.0866729446769433	28	"Alveolum, Lymphatic_ECs"	""
Airway	d21	young "29"	"Reln"	0.603559814868979	0.0751661783531799	0.027828900246671	0.0866517307153858	29	"Lymphatic_ECs"	""
Airway	d21	young "30"	"Itgb2"	0.598912183204008	0.0766159066374497	0.0292786285309408	0.0866264060534789	30	"Granulocytes, MNP"	""
Airway	d21	young "31"	"Hspg2"	0.592430016689322	0.0788667147041313	0.0315294365976224	0.0864995057449659	31	"Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC"	"Lymphatic_ECs, Pericytes"
Airway	d21	young "32"	"Lamb2"	0.596284045353661	0.0796286727283627	0.0322913946218538	0.0864749435678835	32	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
Airway	d21	young "33"	"Vcam1"	0.605850295074069	0.0756834610232836	0.0283461829167748	0.0863538456218342	33	"Fibroblasts"	""
Airway	d21	young "34"	"Fgf2"	0.598357306309252	0.0761504728474575	0.0288131947409486	0.0862836115674521	34	"Fibroblasts, Mesothelium, SMC"	"SMC"
Airway	d21	young "35"	"Sema5a"	0.605514788114453	0.073831181893141	0.0264939037866321	0.0853937857884233	35	"Fibroblasts, Mesothelium, SMC"	""
Airway	d21	young "36"	"Copa"	0.604493212436125	0.0745620891263565	0.0272248110198477	0.0852681719100829	36	"Airway, Alveolum, Fibroblasts, Lymphatic_ECs, Mesothelium"	"Alveolum"
