adjacency_matrix_expressed	d10	old Airway	Alveolum	MNP	Lymphocytes	Granulocytes	Fibroblasts	Pericytes	SMC	Mesothelium	Capillary_ECs	Vascular_ECs	Lymphatic_ECs
adjacency_matrix_expressed	d28	old Lymphatic_ECs	3	51	0	15	1	42	1	0	0	4	0	0
adjacency_matrix_expressed	d3	old Airway	Alveolum	MNP	Lymphocytes	Granulocytes	Fibroblasts	Pericytes	SMC	Mesothelium	Capillary_ECs	Vascular_ECs	Lymphatic_ECs
adjacency_matrix_expressed	d3	old Airway	0	35	0	17	1	15	0	0	0	2	0	0
adjacency_matrix_expressed	d3	old Alveolum	0	31	0	17	1	24	0	0	0	1	0	0
adjacency_matrix_expressed	d3	old MNP	0	34	0	23	1	20	0	0	0	1	0	0
adjacency_matrix_expressed	d3	old Lymphocytes	0	16	0	11	1	8	0	0	0	0	0	0
adjacency_matrix_expressed	d3	old Granulocytes	0	16	0	9	2	10	0	0	0	2	0	0
adjacency_matrix_expressed	d3	old Fibroblasts	0	50	0	27	3	29	0	0	0	1	0	0
adjacency_matrix_expressed	d3	old Pericytes	0	37	0	17	2	17	0	0	0	0	0	0
adjacency_matrix_expressed	d3	old SMC	0	39	0	17	2	23	0	0	0	0	0	0
adjacency_matrix_expressed	d3	old Mesothelium	0	41	0	16	2	21	0	0	0	1	0	0
adjacency_matrix_expressed	d3	old Capillary_ECs	0	36	0	14	1	18	0	0	0	1	0	0
adjacency_matrix_expressed	d3	old Vascular_ECs	0	43	0	15	2	25	0	0	0	1	0	0
adjacency_matrix_expressed	d3	old Lymphatic_ECs	0	48	0	20	1	20	0	0	0	0	0	0
adjacency_matrix_expressed	d42	old Airway	Alveolum	MNP	Lymphocytes	Granulocytes	Fibroblasts	Pericytes	SMC	Mesothelium	Capillary_ECs	Vascular_ECs	Lymphatic_ECs
adjacency_matrix_expressed	d42	old Airway	0	0	0	0	0	35	1	0	0	0	0	0
adjacency_matrix_expressed	d42	old Alveolum	0	1	0	0	0	40	0	0	0	0	0	0
adjacency_matrix_expressed	d42	old MNP	0	1	1	1	0	40	0	0	0	0	0	0
adjacency_matrix_expressed	d42	old Lymphocytes	0	0	0	0	0	16	0	0	0	0	0	0
adjacency_matrix_expressed	d42	old Granulocytes	0	0	0	0	0	20	0	0	0	0	0	0
adjacency_matrix_expressed	d42	old Fibroblasts	0	3	0	1	0	67	1	0	0	0	0	0
adjacency_matrix_expressed	d42	old Pericytes	0	1	0	0	0	38	2	0	0	0	0	0
adjacency_matrix_expressed	d42	old SMC	0	1	0	0	0	30	1	0	0	0	0	0
adjacency_matrix_expressed	d42	old Mesothelium	0	2	0	0	0	40	0	0	0	0	0	0
adjacency_matrix_expressed	d42	old Capillary_ECs	1	0	0	0	0	35	1	0	0	0	0	0
adjacency_matrix_expressed	d42	old Vascular_ECs	1	0	0	0	0	45	0	0	0	0	0	0
adjacency_matrix_expressed	d42	old Lymphatic_ECs	0	2	0	0	0	48	0	0	0	0	0	0
adjacency_matrix_upregulated	d10	old Airway	Alveolum	MNP	Lymphocytes	Granulocytes	Fibroblasts	Pericytes	SMC	Mesothelium	Capillary_ECs	Vascular_ECs	Lymphatic_ECs
adjacency_matrix_upregulated	d10	old Airway	0	3	1	0	0	5	0	0	0	5	3	0
adjacency_matrix_upregulated	d10	old Alveolum	0	13	1	5	0	15	2	0	0	14	3	0
adjacency_matrix_upregulated	d10	old MNP	0	5	1	4	0	7	1	0	0	8	0	0
adjacency_matrix_upregulated	d10	old Lymphocytes	0	2	0	0	0	1	1	0	0	0	1	0
adjacency_matrix_upregulated	d10	old Granulocytes	0	1	0	0	0	1	0	0	0	1	1	0
adjacency_matrix_upregulated	d10	old Fibroblasts	0	10	0	5	0	13	3	0	0	12	2	0
adjacency_matrix_upregulated	d10	old Pericytes	0	9	0	4	0	11	2	0	0	8	2	0
adjacency_matrix_upregulated	d10	old SMC	0	4	0	2	0	7	1	0	0	4	1	0
adjacency_matrix_upregulated	d10	old Mesothelium	0	1	0	0	0	3	2	0	0	1	1	0
adjacency_matrix_upregulated	d10	old Capillary_ECs	0	8	0	2	0	10	2	0	0	8	2	0
adjacency_matrix_upregulated	d10	old Vascular_ECs	0	7	0	4	0	8	0	0	0	7	1	0
adjacency_matrix_upregulated	d10	old Lymphatic_ECs	0	7	1	1	0	8	1	0	0	8	1	0
adjacency_matrix_upregulated	d21	old Airway	Alveolum	MNP	Lymphocytes	Granulocytes	Fibroblasts	Pericytes	SMC	Mesothelium	Capillary_ECs	Vascular_ECs	Lymphatic_ECs
adjacency_matrix_upregulated	d21	old Airway	0	2	0	0	0	6	0	0	1	5	3	0
adjacency_matrix_upregulated	d21	old Alveolum	0	15	1	0	0	22	0	0	1	18	3	0
adjacency_matrix_upregulated	d21	old MNP	0	10	2	0	0	12	2	1	1	8	2	0
adjacency_matrix_upregulated	d21	old Lymphocytes	0	0	0	0	0	0	0	0	0	0	0	0
adjacency_matrix_upregulated	d21	old Granulocytes	0	0	0	0	0	0	0	0	0	0	0	0
adjacency_matrix_upregulated	d21	old Fibroblasts	0	13	0	0	0	23	3	1	0	16	0	0
adjacency_matrix_upregulated	d21	old Pericytes	0	6	0	0	0	8	0	0	0	6	0	0
adjacency_matrix_upregulated	d21	old SMC	0	3	0	0	0	6	0	0	1	3	0	0
adjacency_matrix_upregulated	d21	old Mesothelium	0	3	0	0	0	8	0	0	2	4	0	0
adjacency_matrix_upregulated	d21	old Capillary_ECs	0	11	0	0	0	16	1	0	0	11	1	0
adjacency_matrix_upregulated	d21	old Vascular_ECs	0	6	0	0	0	13	0	0	0	8	1	0
adjacency_matrix_upregulated	d21	old Lymphatic_ECs	0	14	0	0	0	20	0	0	1	15	3	0
adjacency_matrix_upregulated	d28	old Airway	Alveolum	MNP	Lymphocytes	Granulocytes	Fibroblasts	Pericytes	SMC	Mesothelium	Capillary_ECs	Vascular_ECs	Lymphatic_ECs
adjacency_matrix_upregulated	d28	old Airway	0	5	0	2	0	6	0	0	0	1	0	0
adjacency_matrix_upregulated	d28	old Alveolum	0	8	0	4	0	6	0	0	0	0	0	0
adjacency_matrix_upregulated	d28	old MNP	1	4	1	0	0	4	0	0	0	2	0	0
adjacency_matrix_upregulated	d28	old Lymphocytes	0	0	0	0	0	0	0	0	0	0	0	0
adjacency_matrix_upregulated	d28	old Granulocytes	0	0	0	0	0	0	0	0	0	0	0	0
adjacency_matrix_upregulated	d28	old Fibroblasts	1	10	1	3	0	11	0	0	0	1	0	0
adjacency_matrix_upregulated	d28	old Pericytes	0	4	0	1	0	5	0	0	0	0	0	0
adjacency_matrix_upregulated	d28	old SMC	1	2	0	1	0	2	0	0	0	0	0	0
adjacency_matrix_upregulated	d28	old Mesothelium	0	1	0	1	0	5	0	0	0	0	0	0
adjacency_matrix_upregulated	d28	old Capillary_ECs	0	10	0	3	0	6	0	0	0	0	0	0
adjacency_matrix_upregulated	d28	old Vascular_ECs	0	3	0	2	0	3	0	0	0	0	0	0
adjacency_matrix_upregulated	d28	old Lymphatic_ECs	1	9	0	4	0	6	0	0	0	1	0	0
adjacency_matrix_upregulated	d3	old Airway	Alveolum	MNP	Lymphocytes	Granulocytes	Fibroblasts	Pericytes	SMC	Mesothelium	Capillary_ECs	Vascular_ECs	Lymphatic_ECs
adjacency_matrix_upregulated	d3	old Airway	0	4	0	3	0	2	0	0	0	2	0	0
adjacency_matrix_upregulated	d3	old Alveolum	0	5	0	5	0	6	0	0	0	0	0	0
adjacency_matrix_upregulated	d3	old MNP	0	0	0	0	0	1	0	0	0	0	0	0
adjacency_matrix_upregulated	d3	old Lymphocytes	0	1	0	1	0	1	0	0	0	0	0	0
adjacency_matrix_upregulated	d3	old Granulocytes	0	0	0	0	0	0	0	0	0	0	0	0
adjacency_matrix_upregulated	d3	old Fibroblasts	0	1	0	1	0	2	0	0	0	0	0	0
adjacency_matrix_upregulated	d3	old Pericytes	0	1	0	1	1	0	0	0	0	0	0	0
adjacency_matrix_upregulated	d3	old SMC	0	5	0	4	0	3	0	0	0	0	0	0
adjacency_matrix_upregulated	d3	old Mesothelium	0	2	0	1	0	3	0	0	0	0	0	0
adjacency_matrix_upregulated	d3	old Capillary_ECs	0	0	0	0	0	0	0	0	0	0	0	0
adjacency_matrix_upregulated	d3	old Vascular_ECs	0	1	0	2	0	2	0	0	0	0	0	0
adjacency_matrix_upregulated	d3	old Lymphatic_ECs	0	3	0	1	0	2	0	0	0	0	0	0
adjacency_matrix_upregulated	d42	old Airway	Alveolum	MNP	Lymphocytes	Granulocytes	Fibroblasts	Pericytes	SMC	Mesothelium	Capillary_ECs	Vascular_ECs	Lymphatic_ECs
adjacency_matrix_upregulated	d42	old Airway	0	0	0	0	0	1	0	0	0	0	0	0
adjacency_matrix_upregulated	d42	old Alveolum	0	0	0	0	0	6	0	0	0	0	0	0
adjacency_matrix_upregulated	d42	old MNP	0	1	0	1	0	6	0	0	0	0	0	0
adjacency_matrix_upregulated	d42	old Lymphocytes	0	0	0	0	0	1	0	0	0	0	0	0
adjacency_matrix_upregulated	d42	old Granulocytes	0	0	0	0	0	1	0	0	0	0	0	0
adjacency_matrix_upregulated	d42	old Fibroblasts	0	1	0	1	0	18	0	0	0	0	0	0
adjacency_matrix_upregulated	d42	old Pericytes	0	0	0	0	0	2	0	0	0	0	0	0
adjacency_matrix_upregulated	d42	old SMC	0	0	0	0	0	2	1	0	0	0	0	0
adjacency_matrix_upregulated	d42	old Mesothelium	0	0	0	0	0	0	0	0	0	0	0	0
adjacency_matrix_upregulated	d42	old Capillary_ECs	0	0	0	0	0	4	0	0	0	0	0	0
adjacency_matrix_upregulated	d42	old Vascular_ECs	0	0	0	0	0	1	0	0	0	0	0	0
adjacency_matrix_upregulated	d42	old Lymphatic_ECs	0	0	0	0	0	7	0	0	0	0	0	0
bleo_Airway	d10_reg_potential	old test_ligand	auroc	aupr	aupr_corrected	pearson	rank	expressed_in	upregulated_in
bleo_Airway	d10_reg_potential	old Edn1	0.529255214804158	0.0656916230849622	0.033768446339569	0.0844397785311195	1	Capillary_ECs, Vascular_ECs	
bleo_Airway	d10_reg_potential	old Spp1	0.518280694871293	0.0492946588452904	0.0173714820998972	0.0509489740099486	2	Fibroblasts, MNP, Pericytes	Fibroblasts, MNP
bleo_Airway	d10_reg_potential	old Wnt5a	0.523620828701588	0.0516530594748351	0.0197298827294419	0.0500683748658664	3	Fibroblasts, Pericytes	
bleo_Airway	d10_reg_potential	old Tgfb1	0.532095294143289	0.0438589568619094	0.0119357801165162	0.0497295374379281	4	Lymphatic_ECs, MNP	
bleo_Airway	d10_reg_potential	old Adam17	0.529845898995187	0.0512577868360576	0.0193346100906644	0.0493641550415644	5	Fibroblasts, Lymphatic_ECs, MNP	
bleo_Airway	d10_reg_potential	old Vegfa	0.526044595566599	0.0469489556690527	0.0150257789236595	0.0487890629452299	6	Alveolum, Capillary_ECs, Vascular_ECs	Alveolum
bleo_Airway	d10_reg_potential	old Hmgb1	0.495710455764075	0.0613025372274305	0.0293793604820373	0.0486557520617473	7	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
bleo_Airway	d10_reg_potential	old Lgals3	0.528433488088231	0.0459608261128427	0.0140376493674495	0.0485911819063563	8	Airway, MNP	Airway
bleo_Airway	d10_reg_potential	old Nampt	0.512121013971531	0.047698070450308	0.0157748937049148	0.046587075326689	9	MNP, SMC, Vascular_ECs	
bleo_Airway	d10_reg_potential	old Apoe	0.530778787680637	0.0439173263930983	0.0119941496477051	0.0464974778714873	10	MNP	MNP
bleo_Airway	d10_reg_potential	old Fgf2	0.524741166982716	0.0461918608050885	0.0142686840596953	0.0462177950611033	11	Fibroblasts, Mesothelium, SMC	
bleo_Airway	d10_reg_potential	old Cxcl12	0.535338608077772	0.044343198724303	0.0124200219789098	0.0436810156190905	12	Capillary_ECs, Fibroblasts, SMC, Vascular_ECs	Capillary_ECs
bleo_Airway	d10_reg_potential	old Hc	0.527568168443081	0.055064038032982	0.0231408612875888	0.0436322915203818	13	Alveolum	
bleo_Airway	d10_reg_potential	old Gpi1	0.531103555003378	0.0496338038565624	0.0177106271111692	0.0414036679588845	14	Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, SMC, Vascular_ECs	Alveolum
bleo_Airway	d10_reg_potential	old Itgam	0.539216199132502	0.0518392372844744	0.0199160605390811	0.0402338759332915	15	Granulocytes, MNP	
bleo_Airway	d10_reg_potential	old Anxa1	0.536639857015193	0.0539435296679724	0.0220203529225792	0.0400267331385725	16	Airway, Alveolum, Fibroblasts, Granulocytes, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC	Alveolum, Lymphatic_ECs
bleo_Airway	d10_reg_potential	old Pkd1	0.525079012184222	0.0430973734697071	0.0111741967243139	0.0399769136960376	17	Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs	
bleo_Airway	d10_reg_potential	old Col4a1	0.545922971294058	0.0454939704806509	0.0135707937352577	0.0389772238196255	18	Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs	Alveolum, Capillary_ECs, Fibroblasts, Pericytes, Vascular_ECs
bleo_Airway	d10_reg_potential	old Angpt2	0.52009634037359	0.0475705296178605	0.0156473528724673	0.0389718727800841	19	Lymphatic_ECs, Pericytes, SMC	Lymphatic_ECs
bleo_Airway	d10_reg_potential	old Inhbb	0.531574358639029	0.0428680389478486	0.0109448622024554	0.0365647618215014	20	Airway	
bleo_Airway	d10_reg_potential	old Adam12	0.537441966912968	0.0464155888938931	0.0144924121484999	0.0364953253412616	21	Lymphatic_ECs	Lymphatic_ECs
bleo_Airway	d10_reg_potential	old Ghrl	0.524632184659647	0.0416438697608008	0.00972069301540759	0.0358496412426812	22	Airway	Airway
bleo_Airway	d10_reg_potential	old Tnc	0.535231805401165	0.0452746001133798	0.0133514233679866	0.0356448374654116	23	Fibroblasts, Lymphatic_ECs	Fibroblasts
bleo_Airway	d10_reg_potential	old Itgb2	0.531894766668844	0.052350987633492	0.0204278108880988	0.0355422717153903	24	Granulocytes, Lymphocytes, MNP	
bleo_Airway	d10_reg_potential	old Pf4	0.51573268815798	0.0458183105855002	0.013895133840107	0.0354272800489065	25	MNP	
bleo_Airway	d10_reg_potential	old Tnfsf13b	0.530249133590531	0.0460979613562439	0.0141747846108507	0.0351318082924566	26	Fibroblasts	
bleo_Airway	d10_reg_potential	old F7	0.53498550535103	0.0434567423912545	0.0115335656458613	0.0340140329411904	27	MNP	
bleo_Airway	d10_reg_potential	old Ltb	0.532134527779592	0.0549755598619516	0.0230523831165584	0.0334995170358049	28	Lymphocytes	
bleo_Airway	d10_reg_potential	old Tnfsf14	0.541537522613835	0.0439547204910196	0.0120315437456264	0.0334128147518909	29	Granulocytes	
bleo_Airway	d10_reg_potential	old Tgfb3	0.519549249111791	0.0458906768154459	0.0139675000700527	0.0333371732850467	30	Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC	
bleo_Airway	d10_reg_potential	old Inhba	0.530270930055146	0.0423886865263099	0.0104655097809167	0.0329621030961466	31	Fibroblasts, SMC	Fibroblasts
bleo_Airway	d10_reg_potential	old Itgb1	0.518335186032823	0.0434196994730346	0.0114965227276414	0.0328105062670905	32	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
bleo_Airway	d10_reg_potential	old Pros1	0.517857843457791	0.0500988666369369	0.0181756898915437	0.0325806624517741	33	Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Pericytes, SMC, Vascular_ECs	
bleo_Airway	d10_reg_potential	old Cdh5	0.524157021731075	0.0508078664646069	0.0188846897192137	0.0324555950831306	34	Capillary_ECs, Lymphatic_ECs, Vascular_ECs	
bleo_Airway	d10_reg_potential	old Tnfsf10	0.511172867760849	0.0407377888652323	0.00881461211983908	0.0323172045791692	35	Capillary_ECs, Lymphatic_ECs, Vascular_ECs	
bleo_Airway	d10_reg_potential	old Calm1	0.535181673532554	0.0441365589808784	0.0122133822354852	0.0320585174973566	36	Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	Alveolum, Fibroblasts, Pericytes
bleo_Airway	d10_reg_potential	old Efna1	0.524767322740254	0.0505369287953418	0.0186137520499486	0.0312325749670365	37	Alveolum, Capillary_ECs, Lymphatic_ECs, Vascular_ECs	
bleo_Airway	d10_reg_potential	old Dusp18	0.51938141633427	0.0447339651136337	0.0128107883682405	0.0311809561639917	38	Airway	
bleo_Airway	d10_reg_potential	old Pcdh1	0.526249482333963	0.0489341290385594	0.0170109522931662	0.0309852372734729	39	Capillary_ECs, Vascular_ECs	
bleo_Airway	d10_reg_potential	old Bdnf	0.518285054164211	0.0430707281418504	0.0111475513964572	0.0309836169073526	40	Mesothelium	
bleo_Airway	d10_reg_potential	old Cxcl16	0.523982650014165	0.0451214893270162	0.0131983125816229	0.0309815475221795	41	Alveolum, MNP	Alveolum, MNP
bleo_Airway	d10_reg_potential	old Nts	0.52697312495913	0.043705150288944	0.0117819735435508	0.0309384236673698	42	Lymphatic_ECs	
bleo_Airway	d10_reg_potential	old Sema5a	0.534414437978156	0.0421000392587257	0.0101768625133325	0.0308837978485054	43	Fibroblasts, SMC	
bleo_Airway	d10_reg_potential	old Mmp9	0.538095860851374	0.0428715492069806	0.0109483724615874	0.0303116021826076	44	Granulocytes	
bleo_Airway	d10_reg_potential	old Bmp3	0.525687133546937	0.0421791686044386	0.0102559918590454	0.0300390831376262	45	Fibroblasts, Mesothelium, SMC	
bleo_Airway	d10_reg_potential	old Vcam1	0.526936070969289	0.050028490232996	0.0181053134876028	0.029940052730289	46	Fibroblasts, Vascular_ECs	
bleo_Airway	d10_reg_potential	old Sfrp2	0.525214150264828	0.0434295490828352	0.011506372337442	0.0299020633652496	47	Mesothelium, SMC	Mesothelium
bleo_Airway	d10_reg_potential	old Ncam1	0.529449203339217	0.0508070563779005	0.0188838796325073	0.029403273943473	48	Mesothelium, SMC	
bleo_Airway	d10_reg_potential	old Fgf1	0.526790034656376	0.0424819787710381	0.0105588020256449	0.0293216033786283	49	Airway, Alveolum, Capillary_ECs	
bleo_Airway	d10_reg_potential	old Pecam1	0.525689313193402	0.0483051145047289	0.0163819377593357	0.0291088828463451	50	Capillary_ECs, Lymphatic_ECs, Vascular_ECs	
bleo_Airway	d10_reg_potential	old Efnb2	0.523690577388348	0.0500152548194234	0.0180920780740302	0.0290289598301562	51	Capillary_ECs, Vascular_ECs	
bleo_Airway	d10_reg_potential	old Bmp4	0.511541228012817	0.0436507066127836	0.0117275298673903	0.0289850032829929	52	Alveolum, Fibroblasts, Mesothelium, Pericytes, Vascular_ECs	
bleo_Airway	d10_reg_potential	old Fn1	0.530161947732074	0.0451046372339308	0.0131814604885376	0.028975596120014	53	Fibroblasts, MNP, Pericytes, SMC	Fibroblasts, Pericytes
bleo_Airway	d10_reg_potential	old Yars	0.529423047581684	0.051244771697914	0.0193215949525208	0.0289508119855707	54	Fibroblasts, Lymphatic_ECs	
bleo_Airway	d10_reg_potential	old Cxcl2	0.519836962444693	0.0437608025892206	0.0118376258438274	0.0287278310101579	55	Granulocytes	
bleo_Airway	d10_reg_potential	old Efnb1	0.52231522047124	0.0507151474402771	0.0187919706948839	0.0286562806946667	56	Capillary_ECs, Fibroblasts, Vascular_ECs	
bleo_Airway	d10_reg_potential	old Ocln	0.52505285642669	0.0430134264190759	0.0110902496736827	0.0280648656953678	57	Airway	
bleo_Airway	d10_reg_potential	old Sema3a	0.524274722639989	0.0486515956881308	0.0167284189427376	0.0280304887744212	58	Lymphatic_ECs	
bleo_Airway	d10_reg_potential	old Nectin1	0.527895115412279	0.0423650955985352	0.010441918853142	0.0277186129589202	59	Alveolum	
bleo_Airway	d10_reg_potential	old Fgf7	0.533915298938514	0.0426627715969449	0.0107395948515517	0.0271910124357324	60	Fibroblasts	
bleo_Airway	d10_reg_potential	old Lamb2	0.518034394821165	0.0536721390689465	0.0217489623235533	0.0266817151798275	61	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs	SMC
bleo_Airway	d10_reg_potential	old Itga4	0.523429019812991	0.0489176376895374	0.0169944609441442	0.0266210109775176	62	Granulocytes, Lymphocytes, MNP	
bleo_Airway	d10_reg_potential	old Plxnb2	0.523989188953553	0.0481481329564152	0.016224956211022	0.0265943089422546	63	Airway, Alveolum, Fibroblasts, MNP, Mesothelium, Pericytes	
bleo_Airway	d10_reg_potential	old Psen1	0.520432005928639	0.0421958069603856	0.0102726302149924	0.0264100660953453	64	Fibroblasts, MNP	
bleo_Airway	d10_reg_potential	old Col18a1	0.520039669565597	0.0485325038067376	0.0166093270613444	0.0262301910759053	65	Fibroblasts, Lymphatic_ECs, Pericytes, SMC, Vascular_ECs	Lymphatic_ECs, Pericytes, SMC, Vascular_ECs
bleo_Airway	d10_reg_potential	old Jam2	0.531966695002069	0.0478062821746277	0.0158831054292345	0.0256962813989525	66	Capillary_ECs, Vascular_ECs	Capillary_ECs, Vascular_ECs
bleo_Airway	d10_reg_potential	old Hbegf	0.521713638047907	0.0441330988056594	0.0122099220602662	0.0256012112448665	67	Alveolum, Pericytes, SMC	Alveolum
bleo_Airway	d10_reg_potential	old Osm	0.514915320734978	0.0446954583177849	0.0127722815723917	0.0252443216089331	68	Granulocytes	
bleo_Airway	d10_reg_potential	old Itgal	0.512556943263804	0.0399099875219643	0.00798681077657114	0.0252195915601105	69	Granulocytes, Lymphocytes, MNP	
bleo_Airway	d10_reg_potential	old Penk	0.516678654722205	0.0430733385881102	0.011150161842717	0.0251149051774922	70	Fibroblasts	
bleo_Airway	d10_reg_potential	old Lrpap1	0.513236992959742	0.0492373481722664	0.0173141714268732	0.0250580471732663	71	Airway, Alveolum, Fibroblasts, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
bleo_Airway	d10_reg_potential	old Col1a1	0.512903507051157	0.0423885217350407	0.0104653449896475	0.0250020553672774	72	Fibroblasts, Pericytes, SMC	Fibroblasts, Pericytes
bleo_Airway	d10_reg_potential	old Lama2	0.530266570762224	0.0404120444775961	0.00848886773220289	0.0249798602210161	73	Fibroblasts, Pericytes	
bleo_Airway	d10_reg_potential	old Fgf10	0.529087382026641	0.0425973217335896	0.0106741449881963	0.0249623553109115	74	Fibroblasts	
bleo_Airway	d10_reg_potential	old Npnt	0.514878266745134	0.038421483739534	0.00649830699414077	0.0249221317378224	75	Alveolum, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC	Lymphatic_ECs
bleo_Airway	d10_reg_potential	old Fgf9	0.518816887900785	0.0414543363075505	0.00953115956215731	0.0248725334612519	76	Mesothelium	
bleo_Airway	d10_reg_potential	old Mdk	0.509638396652067	0.044409820811342	0.0124866440659488	0.0245598963636568	77	Fibroblasts	
bleo_Airway	d10_reg_potential	old Aimp1	0.501172649796205	0.0452720953898051	0.0133489186444119	0.0245593906439122	78	Airway, Alveolum, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
bleo_Airway	d10_reg_potential	old Pcdh7	0.5152466269971	0.0495307595424206	0.0176075827970274	0.0235548556674592	79	Fibroblasts, Lymphatic_ECs, Mesothelium, SMC	
bleo_Airway	d10_reg_potential	old Bmp6	0.510128817105868	0.0423231085634945	0.0103999318181013	0.0234853469421885	80	Capillary_ECs, Vascular_ECs	
