"Col1a2" "Col3a1" "Sod3" "Timp1" "Vim" "Col5a1" "Itgb5" "Serpine2" "Gsn" "Tle1" "Cavin3" "Col18a1" "Hacd1" "Aldoa" "B4galt1" "Tagln2" "Nupr1" "Sbno2" "Rgs2" "Gnas" "Hnrnpl" "Sparc" "Il6st" "Sulf2" "Tm4sf1" "Rcan1" "Ensa" "Lrrc8a" "Ifitm3" "Rnase4" "Tspan3"
"Nectin1" 0 0 0 0 0 0 0 0 0.00110579301350373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Osm" 0 0 0 0.00575092635394113 0.00275861619400152 0 0 0 0.00165611289779071 0.00138196297852857 0 0.00137966965858044 0 0.00137435577545459 0.00156922009032482 0.0014918933348859 0 0.00188687406724925 0 0.00130816140738821 0.00126465531242467 0 0.00266824514701185 0.00143204698398998 0.00166246577319283 0.00133822839747805 0.00130059309271708 0.00121612161549899 0 0.00129843723478026 0
"Fgf1" 0 0 0 0.00185060820883847 0 0 0 0 0.00120151186737656 0 0 0 0 0 0 0 0 0 0 0 0 0.00224052357432998 0 0 0 0 0 0 0 0 0
"Jam2" 0 0 0 0 0.00138702970008691 0 0 0 0.00134792651464754 0.00155041775414467 0 0.00137715171747212 0 0.00114011442102161 0.00118862816358407 0.00129988427258491 0 0.0012277302866459 0 0.00130113362984204 0.00160798166648564 0 0.00111666057286892 0 0 0 0 0 0.00124434265851746 0 0
"Col4a1" 0 0 0 0 0 0 0 0 0.00115634119955729 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hc" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00175817396763475 0 0 0 0 0 0 0 0 0 0 0 0
"Cxcl12" 0 0 0 0 0 0 0 0 0.00436968484743069 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mdk" 0 0 0 0 0 0 0 0 0.00118080309298901 0 0 0.00114193746683207 0 0.00117240993426343 0 0 0.00479131225122721 0.00129238184883956 0 0 0 0 0 0 0.00112366292416331 0 0 0 0.00110862977583524 0 0
"Plat" 0 0 0 0.00376305192776554 0.00114095950806826 0 0 0 0.00123618593677426 0.0011923593510841 0 0.00114482175287887 0 0.00114630449516654 0 0.00119455385018028 0 0 0 0 0.00118484930557134 0 0 0 0 0 0 0 0 0 0
"Areg" 0 0 0 0 0.00112077568017936 0 0 0 0.00146688015036365 0.00132663411145812 0 0.00138017578087077 0 0.00117013754198042 0.00132167051596585 0 0.00446987406068357 0.00120341516502754 0 0 0.00131715590987902 0 0 0.00129744046643427 0.0011276287621681 0.00120175184613341 0 0 0 0 0
"Col1a1" 0 0 0 0 0.00118511499633115 0.001162172047035 0 0 0.00137961172576967 0.00114891900966597 0 0.00131242326317063 0 0.00135785385354049 0.00134436650058469 0.00142931651634521 0 0 0 0.00124627617178789 0.00125704456814203 0 0 0.00114449334451375 0 0 0 0.00111541306824346 0 0.00114654654756787 0
"Bmp5" 0 0.00128247069133391 0 0 0.00148929278169747 0.00128993716490977 0 0 0.00211511714182402 0.00158226293053138 0.00201806875611834 0.00177474943881919 0.0025579514966613 0 0.0013329319574764 0.00167560968229711 0 0 0 0.00139222012539679 0.00138304432669301 0 0.00116282366739539 0.00167393560042099 0.001699835600029 0.00139040818500106 0.0011869907105655 0.00119769202484281 0 0.00118089569378134 0
"Mmp9" 0 0 0 0.00379242755032811 0.00110554661017568 0 0 0 0.00121038026108012 0 0 0 0 0 0 0 0 0 0 0 0.00114293037858124 0 0 0 0 0 0 0 0 0 0
"Fn1" 0 0 0 0.00355817317440741 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Spp1" 0.00421524682203956 0.00495879526473618 0 0.00377514477134519 0.00118931505083177 0 0 0 0.00127344370334437 0 0 0 0 0 0 0 0 0 0 0 0.00111702445821796 0 0 0 0 0 0 0 0 0 0
"Tgfb1" 0.00782831487095467 0.00527727585757168 0 0.00514659632818426 0.00539500587814721 0.00518054605732199 0.00454188789266344 0.00452512600179892 0.00163255409989271 0.00279977766415234 0 0.00138206816395869 0 0.00131030416960445 0.00135054142200582 0.0014048054064054 0 0.00124976652639615 0 0.00129140126221758 0.00138226076328087 0.002517570023229 0 0.00138479006136281 0.00130791091179883 0.00120977130048633 0.00111355976885284 0.00118377171465905 0 0.00123676457527461 0
"Edn1" 0.00430284300218838 0.00507425261027675 0.00226081437859102 0.00195713366293793 0.00214614830596564 0 0 0 0.00114938942726667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
